

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Antigua and Barbuda",8,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2012,8.462,"","",""
"Antigua and Barbuda",8,"SDG 6.4.2. Water Stress",4550,1990,3.269,"","",""
"Antigua and Barbuda",8,"SDG 6.4.2. Water Stress",4550,2005,9.808,"I","",""
"Antigua and Barbuda",8,"SDG 6.4.2. Water Stress",4550,2012,8.462,"","",""
"Argentina",9,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1976,3.15,"","",""
"Argentina",9,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1995,3.262,"I","",""
"Argentina",9,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2011,4.302,"","",""
"Argentina",9,"SDG 6.4.2. Water Stress",4550,1976,7.658,"K","",""
"Argentina",9,"SDG 6.4.2. Water Stress",4550,1995,7.93,"K","",""
"Argentina",9,"SDG 6.4.2. Water Stress",4550,2011,10.46,"K","",""
"Armenia",1,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1997,23.81,"I","",""
"Armenia",1,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,22.29,"I","",""
"Armenia",1,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2007,36.79,"I","",""
"Armenia",1,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2012,37.86,"I","",""
"Armenia",1,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2017,36.88,"I","",""
"Armenia",1,"SDG 6.4.2. Water Stress",4550,1997,37.32,"K","",""
"Armenia",1,"SDG 6.4.2. Water Stress",4550,2002,34.94,"K","",""
"Armenia",1,"SDG 6.4.2. Water Stress",4550,2007,57.66,"K","",""
"Armenia",1,"SDG 6.4.2. Water Stress",4550,2012,59.33,"K","",""
"Armenia",1,"SDG 6.4.2. Water Stress",4550,2017,57.8,"K","",""
"Australia",10,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1996,4.478,"K","",""
"Australia",10,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2001,4.37,"I","",""
"Australia",10,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2005,3.762,"I","",""
"Australia",10,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2012,3.14,"","",""
"Australia",10,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2017,3.24,"I","",""
"Australia",10,"SDG 6.4.2. Water Stress",4550,1996,8.858,"K","",""
"Australia",10,"SDG 6.4.2. Water Stress",4550,2001,8.645,"K","",""
"Australia",10,"SDG 6.4.2. Water Stress",4550,2005,7.443,"K","",""
"Australia",10,"SDG 6.4.2. Water Stress",4550,2012,6.212,"K","",""
"Australia",10,"SDG 6.4.2. Water Stress",4550,2017,6.409,"K","",""
"Austria",11,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1980,4.299,"K","",""
"Austria",11,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1985,4.605,"K","",""
"Austria",11,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1990,4.897,"K","",""
"Austria",11,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1997,4.687,"K","",""
"Austria",11,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,4.718,"K","",""
"Austria",11,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2010,4.494,"K","",""
"Austria",11,"SDG 6.4.2. Water Stress",4550,1980,9.229,"K","",""
"Austria",11,"SDG 6.4.2. Water Stress",4550,1985,9.887,"K","",""
"Austria",11,"SDG 6.4.2. Water Stress",4550,1990,10.51,"K","",""
"Austria",11,"SDG 6.4.2. Water Stress",4550,1997,10.06,"K","",""
"Austria",11,"SDG 6.4.2. Water Stress",4550,2002,10.13,"K","",""
"Austria",11,"SDG 6.4.2. Water Stress",4550,2010,9.649,"K","",""
"Azerbaijan",52,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1992,46.71,"I","",""
"Azerbaijan",52,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1997,36.07,"I","",""
"Azerbaijan",52,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,29.04,"I","",""
"Azerbaijan",52,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2007,35.38,"I","",""
"Azerbaijan",52,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2012,34.52,"I","",""
"Azerbaijan",52,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2017,36.85,"I","",""
"Azerbaijan",52,"SDG 6.4.2. Water Stress",4550,1992,71.52,"K","",""
"Azerbaijan",52,"SDG 6.4.2. Water Stress",4550,1997,55.23,"K","",""
"Azerbaijan",52,"SDG 6.4.2. Water Stress",4550,2002,44.46,"K","",""
"Azerbaijan",52,"SDG 6.4.2. Water Stress",4550,2007,54.17,"K","",""
"Azerbaijan",52,"SDG 6.4.2. Water Stress",4550,2012,52.85,"K","",""
"Azerbaijan",52,"SDG 6.4.2. Water Stress",4550,2017,56.42,"K","",""
"Bahrain",13,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1990,161.1,"","",""
"Bahrain",13,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2003,205.8,"","",""
"Bahrain",13,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2016,132.2,"","",""
"Bahrain",13,"SDG 6.4.2. Water Stress",4550,1990,161.1,"","",""
"Bahrain",13,"SDG 6.4.2. Water Stress",4550,2003,205.8,"","",""
"Bahrain",13,"SDG 6.4.2. Water Stress",4550,2016,132.2,"","",""
"Bangladesh",16,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2008,2.923,"I","",""
"Bangladesh",16,"SDG 6.4.2. Water Stress",4550,2008,5.724,"K","",""
"Barbados",14,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1962,37.5,"","",""
"Barbados",14,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1996,101.2,"I","",""
"Barbados",14,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2005,87.5,"I","",""
"Barbados",14,"SDG 6.4.2. Water Stress",4550,1962,37.5,"","",""
"Barbados",14,"SDG 6.4.2. Water Stress",4550,1996,101.2,"I","",""
"Barbados",14,"SDG 6.4.2. Water Stress",4550,2005,87.5,"I","",""
"Belarus",57,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1995,3.42,"I","",""
"Belarus",57,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2000,3.173,"I","",""
"Belarus",57,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2005,2.946,"I","",""
"Belarus",57,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2010,2.674,"I","",""
"Belarus",57,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2017,2.413,"I","",""
"Belarus",57,"SDG 6.4.2. Water Stress",4550,1995,6.526,"K","",""
"Belarus",57,"SDG 6.4.2. Water Stress",4550,2000,6.055,"K","",""
"Belarus",57,"SDG 6.4.2. Water Stress",4550,2005,5.623,"K","",""
"Belarus",57,"SDG 6.4.2. Water Stress",4550,2010,5.102,"K","",""
"Belarus",57,"SDG 6.4.2. Water Stress",4550,2017,4.604,"K","",""
"Belgium",255,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1980,49.34,"I","",""
"Belgium",255,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1997,42.02,"K","",""
"Belgium",255,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,36.8,"K","",""
"Belgium",255,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2007,33.96,"I","",""
"Belgium",255,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2012,28.96,"K","",""
"Belgium",255,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2015,21.83,"K","",""
"Belgium",255,"SDG 6.4.2. Water Stress",4550,1980,110.9,"K","",""
"Belgium",255,"SDG 6.4.2. Water Stress",4550,1997,94.47,"K","",""
"Belgium",255,"SDG 6.4.2. Water Stress",4550,2002,82.74,"K","",""
"Belgium",255,"SDG 6.4.2. Water Stress",4550,2007,76.34,"K","",""
"Belgium",255,"SDG 6.4.2. Water Stress",4550,2012,65.11,"K","",""
"Belgium",255,"SDG 6.4.2. Water Stress",4550,2015,49.07,"K","",""
"Belize",23,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1987,0.092,"","",""
"Belize",23,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2000,0.4648,"","",""
"Belize",23,"SDG 6.4.2. Water Stress",4550,1987,0.2497,"K","",""
"Belize",23,"SDG 6.4.2. Water Stress",4550,2000,1.261,"K","",""
"Benin",53,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1985,0.426,"","",""
"Benin",53,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2001,0.4926,"I","",""
"Benin",53,"SDG 6.4.2. Water Stress",4550,1985,0.8252,"K","",""
"Benin",53,"SDG 6.4.2. Water Stress",4550,2001,0.9752,"K","",""
"Bhutan",18,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2008,0.4332,"I","",""
"Bhutan",18,"SDG 6.4.2. Water Stress",4550,2008,1.414,"K","",""
"Bolivia (Plurinational State of)",19,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1987,0.216,"","",""
"Bolivia (Plurinational State of)",19,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2009,0.3638,"I","",""
"Bolivia (Plurinational State of)",19,"SDG 6.4.2. Water Stress",4550,1987,0.699,"K","",""
"Bolivia (Plurinational State of)",19,"SDG 6.4.2. Water Stress",4550,2009,1.177,"K","",""
"Bosnia and Herzegovina",80,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,1.001,"K","",""
"Bosnia and Herzegovina",80,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2007,1.039,"K","",""
"Bosnia and Herzegovina",80,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2012,1.167,"K","",""
"Bosnia and Herzegovina",80,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2017,1.069,"K","",""
"Bosnia and Herzegovina",80,"SDG 6.4.2. Water Stress",4550,2002,2.493,"K","",""
"Bosnia and Herzegovina",80,"SDG 6.4.2. Water Stress",4550,2007,2.587,"K","",""
"Bosnia and Herzegovina",80,"SDG 6.4.2. Water Stress",4550,2012,2.906,"K","",""
"Bosnia and Herzegovina",80,"SDG 6.4.2. Water Stress",4550,2017,2.662,"K","",""
"Botswana",20,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1985,0.612,"","",""
"Botswana",20,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1992,0.9232,"I","",""
"Botswana",20,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1995,1.172,"I","",""
"Botswana",20,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2000,1.585,"I","",""
"Botswana",20,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2012,1.587,"I","",""
"Botswana",20,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2017,1.577,"I","",""
"Botswana",20,"SDG 6.4.2. Water Stress",4550,1985,0.9411,"K","",""
"Botswana",20,"SDG 6.4.2. Water Stress",4550,1992,1.182,"K","",""
"Botswana",20,"SDG 6.4.2. Water Stress",4550,1995,1.5,"K","",""
"Botswana",20,"SDG 6.4.2. Water Stress",4550,2000,2.029,"K","",""
"Botswana",20,"SDG 6.4.2. Water Stress",4550,2012,2.032,"K","",""
"Botswana",20,"SDG 6.4.2. Water Stress",4550,2017,2.018,"K","",""
"Brazil",21,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1987,0.4052,"","",""
"Brazil",21,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1996,0.67,"","",""
"Brazil",21,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2006,0.6716,"","",""
"Brazil",21,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2010,0.8648,"I","",""
"Brazil",21,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2017,0.7596,"","",""
"Brazil",21,"SDG 6.4.2. Water Stress",4550,1987,1.657,"K","",""
"Brazil",21,"SDG 6.4.2. Water Stress",4550,1996,2.592,"K","",""
"Brazil",21,"SDG 6.4.2. Water Stress",4550,2006,2.746,"K","",""
"Brazil",21,"SDG 6.4.2. Water Stress",4550,2010,3.536,"K","",""
"Brazil",21,"SDG 6.4.2. Water Stress",4550,2017,3.105,"K","",""
"Brunei Darussalam",26,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1991,0.8941,"","",""
"Brunei Darussalam",26,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1994,1.082,"","",""
"Brunei Darussalam",26,"SDG 6.4.2. Water Stress",4550,1991,2.864,"K","",""
"Brunei Darussalam",26,"SDG 6.4.2. Water Stress",4550,1994,3.466,"K","",""
"Bulgaria",27,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1980,66.57,"I","",""
"Bulgaria",27,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1985,66.15,"I","",""
"Bulgaria",27,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1990,35.18,"K","",""
"Bulgaria",27,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,30.93,"K","",""
"Bulgaria",27,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2007,29.12,"K","",""
"Bulgaria",27,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2012,26.83,"K","",""
"Bulgaria",27,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2017,26.56,"K","",""
"Bulgaria",27,"SDG 6.4.2. Water Stress",4550,1980,104.8,"K","",""
"Bulgaria",27,"SDG 6.4.2. Water Stress",4550,1985,104.1,"K","",""
"Bulgaria",27,"SDG 6.4.2. Water Stress",4550,1990,55.39,"K","",""
"Bulgaria",27,"SDG 6.4.2. Water Stress",4550,2002,48.7,"K","",""
"Bulgaria",27,"SDG 6.4.2. Water Stress",4550,2007,45.84,"K","",""
"Bulgaria",27,"SDG 6.4.2. Water Stress",4550,2012,42.24,"K","",""
"Bulgaria",27,"SDG 6.4.2. Water Stress",4550,2017,41.82,"K","",""
"Burkina Faso",233,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1985,2.148,"I","",""
"Burkina Faso",233,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1992,2.785,"I","",""
"Burkina Faso",233,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2001,5.301,"I","",""
"Burkina Faso",233,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2005,6.059,"I","",""
"Burkina Faso",233,"SDG 6.4.2. Water Stress",4550,1985,2.772,"K","",""
"Burkina Faso",233,"SDG 6.4.2. Water Stress",4550,1992,3.595,"K","",""
"Burkina Faso",233,"SDG 6.4.2. Water Stress",4550,2001,6.842,"K","",""
"Burkina Faso",233,"SDG 6.4.2. Water Stress",4550,2005,7.82,"K","",""
"Burundi",29,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1987,0.7974,"I","",""
"Burundi",29,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2000,2.297,"I","",""
"Burundi",29,"SDG 6.4.2. Water Stress",4550,1987,3.634,"K","",""
"Burundi",29,"SDG 6.4.2. Water Stress",4550,2000,10.47,"K","",""
"Cabo Verde",35,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2001,6.767,"I","",""
"Cabo Verde",35,"SDG 6.4.2. Water Stress",4550,2001,6.767,"I","",""
"Cambodia",115,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2006,0.4587,"I","",""
"Cambodia",115,"SDG 6.4.2. Water Stress",4550,2006,1.037,"K","",""
"Cameroon",32,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1987,0.1399,"I","",""
"Cameroon",32,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1992,0.1413,"I","",""
"Cameroon",32,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2000,0.3414,"I","",""
"Cameroon",32,"SDG 6.4.2. Water Stress",4550,1987,0.5681,"K","",""
"Cameroon",32,"SDG 6.4.2. Water Stress",4550,1992,0.5739,"K","",""
"Cameroon",32,"SDG 6.4.2. Water Stress",4550,2000,1.387,"K","",""
"Canada",33,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1986,1.454,"I","",""
"Canada",33,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1991,1.554,"K","",""
"Canada",33,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1996,1.455,"K","",""
"Canada",33,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2007,1.424,"K","",""
"Canada",33,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2011,1.227,"I","",""
"Canada",33,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2017,1.227,"I","",""
"Canada",33,"SDG 6.4.2. Water Stress",4550,1986,4.346,"K","",""
"Canada",33,"SDG 6.4.2. Water Stress",4550,1991,4.644,"K","",""
"Canada",33,"SDG 6.4.2. Water Stress",4550,1996,4.347,"K","",""
"Canada",33,"SDG 6.4.2. Water Stress",4550,2007,4.255,"K","",""
"Canada",33,"SDG 6.4.2. Water Stress",4550,2011,3.666,"K","",""
"Canada",33,"SDG 6.4.2. Water Stress",4550,2017,3.666,"K","",""
"Central African Republic",37,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1987,0.0138,"I","",""
"Central African Republic",37,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2000,0.047,"I","",""
"Central African Republic",37,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2005,0.0514,"I","",""
"Central African Republic",37,"SDG 6.4.2. Water Stress",4550,1987,0.0898,"K","",""
"Central African Republic",37,"SDG 6.4.2. Water Stress",4550,2000,0.3065,"K","",""
"Central African Republic",37,"SDG 6.4.2. Water Stress",4550,2005,0.3356,"K","",""
"Chad",39,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1987,0.3961,"I","",""
"Chad",39,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,1.858,"I","",""
"Chad",39,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2005,1.925,"I","",""
"Chad",39,"SDG 6.4.2. Water Stress",4550,1987,0.8838,"K","",""
"Chad",39,"SDG 6.4.2. Water Stress",4550,2002,4.146,"K","",""
"Chad",39,"SDG 6.4.2. Water Stress",4550,2005,4.295,"K","",""
"Chile",40,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1992,2.198,"I","",""
"Chile",40,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2006,3.831,"I","",""
"Chile",40,"SDG 6.4.2. Water Stress",4550,1992,5.152,"K","",""
"Chile",40,"SDG 6.4.2. Water Stress",4550,2006,8.979,"K","",""
"China",351,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1980,15.62,"I","",""
"China",351,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1985,16.94,"I","",""
"China",351,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1990,17.61,"I","",""
"China",351,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1993,18.5,"I","",""
"China",351,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2000,19.36,"I","",""
"China",351,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2007,20.12,"I","",""
"China",351,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2012,21.12,"I","",""
"China",351,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2015,20.92,"I","",""
"China",351,"SDG 6.4.2. Water Stress",4550,1980,32.41,"K","",""
"China",351,"SDG 6.4.2. Water Stress",4550,1985,35.14,"K","",""
"China",351,"SDG 6.4.2. Water Stress",4550,1990,36.52,"K","",""
"China",351,"SDG 6.4.2. Water Stress",4550,1993,38.38,"K","",""
"China",351,"SDG 6.4.2. Water Stress",4550,2000,40.16,"K","",""
"China",351,"SDG 6.4.2. Water Stress",4550,2007,41.73,"K","",""
"China",351,"SDG 6.4.2. Water Stress",4550,2012,43.81,"K","",""
"China",351,"SDG 6.4.2. Water Stress",4550,2015,43.4,"K","",""
"Colombia",44,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1996,0.42,"","",""
"Colombia",44,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2000,0.3282,"I","",""
"Colombia",44,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2008,0.4987,"I","",""
"Colombia",44,"SDG 6.4.2. Water Stress",4550,2000,1.16,"K","",""
"Colombia",44,"SDG 6.4.2. Water Stress",4550,2008,1.762,"K","",""
"Comoros",45,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1999,0.8333,"","",""
"Comoros",45,"SDG 6.4.2. Water Stress",4550,1999,0.8333,"","",""
"Congo",46,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1987,0.0048,"I","",""
"Congo",46,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,0.0055,"I","",""
"Congo",46,"SDG 6.4.2. Water Stress",4550,1987,0.0239,"K","",""
"Congo",46,"SDG 6.4.2. Water Stress",4550,2002,0.0274,"K","",""
"Costa Rica",48,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2012,2.07,"","",""
"Costa Rica",48,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2015,2.824,"","",""
"Costa Rica",48,"SDG 6.4.2. Water Stress",4550,2012,3.991,"K","",""
"Costa Rica",48,"SDG 6.4.2. Water Stress",4550,2015,5.445,"K","",""
"Côte d'Ivoire",107,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1987,0.8426,"I","",""
"Côte d'Ivoire",107,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1990,1.307,"I","",""
"Côte d'Ivoire",107,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,1994,1.464,"I","",""
"Côte d'Ivoire",107,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2000,1.675,"I","",""
"Côte d'Ivoire",107,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2005,1.841,"I","",""
"Côte d'Ivoire",107,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2014,1.381,"I","",""
"Côte d'Ivoire",107,"SDG 6.4.2. Water Stress",4550,1987,3.104,"K","",""
"Côte d'Ivoire",107,"SDG 6.4.2. Water Stress",4550,1990,4.816,"K","",""
"Côte d'Ivoire",107,"SDG 6.4.2. Water Stress",4550,1994,5.394,"K","",""
"Côte d'Ivoire",107,"SDG 6.4.2. Water Stress",4550,2000,6.169,"K","",""
"Côte d'Ivoire",107,"SDG 6.4.2. Water Stress",4550,2005,6.782,"K","",""
"Côte d'Ivoire",107,"SDG 6.4.2. Water Stress",4550,2014,5.088,"K","",""
"Croatia",98,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,0.5436,"K","",""
"Croatia",98,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2012,0.6265,"K","",""
"Croatia",98,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2017,0.6378,"K","",""
"Croatia",98,"SDG 6.4.2. Water Stress",4550,2002,1.275,"K","",""
