

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Hungary",97,"Agricultural water withdrawal",4250,1992,0.949,"E","[34]",""
"Hungary",97,"Agricultural water withdrawal",4250,1996,0.4556,"E","[35]",""
"Hungary",97,"Agricultural water withdrawal",4250,2002,0.6796,"E","[36]",""
"Hungary",97,"Agricultural water withdrawal",4250,2006,0.3054,"E","[37]",""
"Hungary",97,"Agricultural water withdrawal",4250,2012,0.322,"E","[38]",""
"Hungary",97,"Agricultural water withdrawal",4250,2017,0.5186,"I","",""
"Iceland",99,"Agricultural water withdrawal",4250,1992,0.07,"E","[39]",""
"Iceland",99,"Agricultural water withdrawal",4250,2002,0.07,"E","[40]",""
"Iceland",99,"Agricultural water withdrawal",4250,2004,0.07,"E","[41]",""
"Iceland",99,"Agricultural water withdrawal",4250,2012,3.0E-4,"","",""
"Iceland",99,"Agricultural water withdrawal",4250,2015,3.0E-4,"","",""
"Ireland",104,"Agricultural water withdrawal",4250,1994,0.179,"E","[42]",""
"Italy",106,"Agricultural water withdrawal",4250,2000,20.01,"L","",""
"Italy",106,"Agricultural water withdrawal",4250,2007,12.89,"L","[43]",""
"Italy",106,"Agricultural water withdrawal",4250,2013,17.0,"","",""
"Latvia",119,"Agricultural water withdrawal",4250,1995,0.036,"","",""
"Latvia",119,"Agricultural water withdrawal",4250,2002,0.0532,"E","[44]",""
"Latvia",119,"Agricultural water withdrawal",4250,2007,0.0506,"E","[45]",""
"Latvia",119,"Agricultural water withdrawal",4250,2012,0.0408,"E","[46]",""
"Latvia",119,"Agricultural water withdrawal",4250,2017,0.0615,"","",""
"Lithuania",126,"Agricultural water withdrawal",4250,1995,0.008,"","",""
"Lithuania",126,"Agricultural water withdrawal",4250,2001,0.053,"E","[47]",""
"Lithuania",126,"Agricultural water withdrawal",4250,2007,0.0818,"E","[48]",""
"Lithuania",126,"Agricultural water withdrawal",4250,2009,0.0793,"E","[49]",""
"Lithuania",126,"Agricultural water withdrawal",4250,2017,0.0589,"","",""
"Luxembourg",256,"Agricultural water withdrawal",4250,1995,2.0E-4,"E","",""
"Luxembourg",256,"Agricultural water withdrawal",4250,1999,2.0E-4,"E","",""
"Luxembourg",256,"Agricultural water withdrawal",4250,2012,2.0E-4,"E","[50]",""
"Luxembourg",256,"Agricultural water withdrawal",4250,2017,4.0E-4,"","",""
"Malta",134,"Agricultural water withdrawal",4250,1995,0.007,"","",""
"Malta",134,"Agricultural water withdrawal",4250,2002,0.0189,"E","[51]",""
"Malta",134,"Agricultural water withdrawal",4250,2007,0.0203,"E","[52]",""
"Malta",134,"Agricultural water withdrawal",4250,2012,0.0241,"E","[53]",""
"Malta",134,"Agricultural water withdrawal",4250,2017,0.0254,"","",""
"Monaco",140,"Agricultural water withdrawal",4250,1990,0.0,"E","",""
"Monaco",140,"Agricultural water withdrawal",4250,1997,0.0,"E","",""
"Monaco",140,"Agricultural water withdrawal",4250,2002,0.0,"E","",""
"Monaco",140,"Agricultural water withdrawal",4250,2007,0.0,"E","",""
"Monaco",140,"Agricultural water withdrawal",4250,2009,0.0,"E","",""
"Montenegro",273,"Agricultural water withdrawal",4250,2007,0.0066,"E","",""
"Montenegro",273,"Agricultural water withdrawal",4250,2010,0.0017,"","",""
"Netherlands",150,"Agricultural water withdrawal",4250,1991,0.184,"E","",""
"Netherlands",150,"Agricultural water withdrawal",4250,1996,0.23,"E","[54]",""
"Netherlands",150,"Agricultural water withdrawal",4250,2002,0.0526,"E","[55]",""
"Netherlands",150,"Agricultural water withdrawal",4250,2007,0.0719,"E","[56]",""
"Netherlands",150,"Agricultural water withdrawal",4250,2012,0.0602,"E","[57]",""
"Netherlands",150,"Agricultural water withdrawal",4250,2016,0.0765,"","",""
"North Macedonia",154,"Agricultural water withdrawal",4250,1996,1.066,"","",""
"North Macedonia",154,"Agricultural water withdrawal",4250,2002,0.2814,"E","[58]",""
"North Macedonia",154,"Agricultural water withdrawal",4250,2007,0.1255,"E","[59]",""
"North Macedonia",154,"Agricultural water withdrawal",4250,2012,1.353,"","",""
"North Macedonia",154,"Agricultural water withdrawal",4250,2015,0.139,"","",""
"Norway",162,"Agricultural water withdrawal",4250,1996,0.73,"E","",""
"Norway",162,"Agricultural water withdrawal",4250,2002,0.808,"E","",""
"Norway",162,"Agricultural water withdrawal",4250,2006,0.8449,"E","",""
"Poland",173,"Agricultural water withdrawal",4250,1992,1.37,"E","[60]",""
"Poland",173,"Agricultural water withdrawal",4250,1997,1.083,"E","[61]",""
"Poland",173,"Agricultural water withdrawal",4250,2002,1.108,"E","[62]",""
"Poland",173,"Agricultural water withdrawal",4250,2007,1.122,"E","[63]",""
"Poland",173,"Agricultural water withdrawal",4250,2012,1.102,"E","[64]",""
"Poland",173,"Agricultural water withdrawal",4250,2017,1.018,"","",""
"Portugal",174,"Agricultural water withdrawal",4250,1991,5.1,"E","",""
"Portugal",174,"Agricultural water withdrawal",4250,1995,10.0,"E","",""
"Portugal",174,"Agricultural water withdrawal",4250,1998,8.767,"E","",""
"Republic of Moldova",146,"Agricultural water withdrawal",4250,1992,0.775,"","",""
"Republic of Moldova",146,"Agricultural water withdrawal",4250,1996,0.35,"","",""
"Republic of Moldova",146,"Agricultural water withdrawal",4250,2007,0.036,"","",""
"Republic of Moldova",146,"Agricultural water withdrawal",4250,2012,0.039,"","",""
"Republic of Moldova",146,"Agricultural water withdrawal",4250,2017,0.042,"","",""
"Romania",183,"Agricultural water withdrawal",4250,1990,9.1,"","",""
"Romania",183,"Agricultural water withdrawal",4250,1997,2.98,"","",""
"Romania",183,"Agricultural water withdrawal",4250,2002,1.192,"E","[65]",""
"Romania",183,"Agricultural water withdrawal",4250,2007,1.099,"E","[66]",""
"Romania",183,"Agricultural water withdrawal",4250,2012,1.093,"E","[67]",""
"Romania",183,"Agricultural water withdrawal",4250,2017,1.491,"","",""
"Russian Federation",185,"Agricultural water withdrawal",4250,1994,15.3,"","",""
"Russian Federation",185,"Agricultural water withdrawal",4250,2001,13.2,"","",""
"Russian Federation",185,"Agricultural water withdrawal",4250,2017,18.66,"","",""
"Serbia",272,"Agricultural water withdrawal",4250,2007,0.1282,"E","[68]",""
"Serbia",272,"Agricultural water withdrawal",4250,2012,0.6245,"E","",""
"Serbia",272,"Agricultural water withdrawal",4250,2017,0.6608,"","",""
"Slovakia",199,"Agricultural water withdrawal",4250,1992,,,"[69]",
"Slovakia",199,"Agricultural water withdrawal",4250,1997,0.067,"E","[70]",""
"Slovakia",199,"Agricultural water withdrawal",4250,2002,0.056,"E","[71]",""
"Slovakia",199,"Agricultural water withdrawal",4250,2007,0.0225,"E","[72]",""
"Slovakia",199,"Agricultural water withdrawal",4250,2012,0.0307,"E","[73]",""
"Slovakia",199,"Agricultural water withdrawal",4250,2017,0.0316,"","",""
"Slovenia",198,"Agricultural water withdrawal",4250,1992,0.0037,"E","[74]",""
"Slovenia",198,"Agricultural water withdrawal",4250,1995,0.0048,"E","[75]",""
"Slovenia",198,"Agricultural water withdrawal",4250,2002,0.0066,"E","",""
"Slovenia",198,"Agricultural water withdrawal",4250,2007,0.0046,"E","[76]",""
"Slovenia",198,"Agricultural water withdrawal",4250,2012,0.0023,"E","[77]",""
"Slovenia",198,"Agricultural water withdrawal",4250,2017,0.0039,"","",""
"Spain",203,"Agricultural water withdrawal",4250,1991,23.7,"E","[78]",""
"Spain",203,"Agricultural water withdrawal",4250,1997,23.41,"E","[79]",""
"Spain",203,"Agricultural water withdrawal",4250,2002,23.04,"E","[80]",""
"Spain",203,"Agricultural water withdrawal",4250,2007,23.18,"E","[81]",""
"Spain",203,"Agricultural water withdrawal",4250,2012,25.47,"E","[82]",""
"Spain",203,"Agricultural water withdrawal",4250,2016,20.36,"","",""
"Sweden",210,"Agricultural water withdrawal",4250,1992,0.174,"E","",""
"Sweden",210,"Agricultural water withdrawal",4250,1997,0.15,"E","[83]",""
"Sweden",210,"Agricultural water withdrawal",4250,2002,0.135,"E","",""
"Sweden",210,"Agricultural water withdrawal",4250,2007,0.107,"E","[84]",""
"Sweden",210,"Agricultural water withdrawal",4250,2010,0.098,"E","[85]",""
"Sweden",210,"Agricultural water withdrawal",4250,2015,0.075,"","",""
"Switzerland",211,"Agricultural water withdrawal",4250,2000,0.05,"L","",""
"Switzerland",211,"Agricultural water withdrawal",4250,2012,0.1601,"E","[86]",""
"Ukraine",230,"Agricultural water withdrawal",4250,1992,7.865,"I","",""
"Ukraine",230,"Agricultural water withdrawal",4250,2000,5.485,"I","",""
"Ukraine",230,"Agricultural water withdrawal",4250,2005,4.525,"I","",""
"Ukraine",230,"Agricultural water withdrawal",4250,2010,4.454,"I","",""
"Ukraine",230,"Agricultural water withdrawal",4250,2017,3.206,"","",""
"United Kingdom",229,"Agricultural water withdrawal",4250,1990,0.6681,"E","",""
"United Kingdom",229,"Agricultural water withdrawal",4250,1995,1.723,"E","",""
"United Kingdom",229,"Agricultural water withdrawal",4250,2002,1.308,"E","[87,88]",""
"United Kingdom",229,"Agricultural water withdrawal",4250,2007,1.33,"E","[89]",""
"United Kingdom",229,"Agricultural water withdrawal",4250,2012,1.049,"E","[90]",""
"United Kingdom",229,"Agricultural water withdrawal",4250,2016,1.183,"","",""
"Albania",3,"Industrial water withdrawal",4252,1990,0.1,"","",""
"Albania",3,"Industrial water withdrawal",4252,2000,0.2274,"L","",""
"Albania",3,"Industrial water withdrawal",4252,2005,0.2318,"L","",""
"Austria",11,"Industrial water withdrawal",4252,1990,3.022,"E","",""
"Austria",11,"Industrial water withdrawal",4252,1997,2.857,"E","",""
"Austria",11,"Industrial water withdrawal",4252,1999,2.899,"E","",""
"Austria",11,"Industrial water withdrawal",4252,2008,2.695,"E","",""
"Belarus",57,"Industrial water withdrawal",4252,1995,0.66,"I","[91]",""
"Belarus",57,"Industrial water withdrawal",4252,2000,0.5445,"I","[92]",""
"Belarus",57,"Industrial water withdrawal",4252,2005,0.494,"I","[93]",""
"Belarus",57,"Industrial water withdrawal",4252,2010,0.4875,"I","[94]",""
"Belarus",57,"Industrial water withdrawal",4252,2017,0.443,"","",""
"Belgium",255,"Industrial water withdrawal",4252,1997,6.8,"E","",""
"Belgium",255,"Industrial water withdrawal",4252,2002,5.964,"E","",""
"Belgium",255,"Industrial water withdrawal",4252,2007,5.45,"E","",""
"Belgium",255,"Industrial water withdrawal",4252,2009,5.256,"E","",""
"Belgium",255,"Industrial water withdrawal",4252,2015,3.21,"","",""
"Bosnia and Herzegovina",80,"Industrial water withdrawal",4252,2002,0.0199,"","",""
"Bosnia and Herzegovina",80,"Industrial water withdrawal",4252,2007,0.0392,"","",""
"Bosnia and Herzegovina",80,"Industrial water withdrawal",4252,2012,0.0721,"","",""
"Bosnia and Herzegovina",80,"Industrial water withdrawal",4252,2017,0.0718,"","",""
"Bulgaria",27,"Industrial water withdrawal",4252,1990,4.852,"E","",""
"Bulgaria",27,"Industrial water withdrawal",4252,2002,4.776,"E","",""
"Bulgaria",27,"Industrial water withdrawal",4252,2012,3.817,"","",""
"Bulgaria",27,"Industrial water withdrawal",4252,2017,3.942,"I","",""
"Croatia",98,"Industrial water withdrawal",4252,2002,0.0628,"E","",""
"Croatia",98,"Industrial water withdrawal",4252,2012,0.1477,"E","",""
"Croatia",98,"Industrial water withdrawal",4252,2017,0.184,"","",""
"Cyprus",50,"Industrial water withdrawal",4252,1990,0.005,"","",""
"Cyprus",50,"Industrial water withdrawal",4252,1993,0.005,"","",""
"Cyprus",50,"Industrial water withdrawal",4252,2000,0.0035,"L","",""
"Cyprus",50,"Industrial water withdrawal",4252,2007,0.008,"I","",""
"Cyprus",50,"Industrial water withdrawal",4252,2009,0.006,"I","",""
"Cyprus",50,"Industrial water withdrawal",4252,2017,0.017,"I","",""
"Czechia",167,"Industrial water withdrawal",4252,1997,1.514,"E","",""
"Czechia",167,"Industrial water withdrawal",4252,2017,0.9672,"","",""
"Denmark",54,"Industrial water withdrawal",4252,1990,0.225,"E","",""
"Denmark",54,"Industrial water withdrawal",4252,2002,0.0619,"E","",""
"Denmark",54,"Industrial water withdrawal",4252,2007,0.0423,"E","",""
"Denmark",54,"Industrial water withdrawal",4252,2012,0.141,"I","",""
"Denmark",54,"Industrial water withdrawal",4252,2016,0.0329,"","",""
"Estonia",63,"Industrial water withdrawal",4252,1992,2.253,"E","",""
"Estonia",63,"Industrial water withdrawal",4252,1995,1.262,"","[95]",""
"Estonia",63,"Industrial water withdrawal",4252,2012,1.565,"","",""
"Estonia",63,"Industrial water withdrawal",4252,2017,1.721,"","",""
"Finland",67,"Industrial water withdrawal",4252,1990,1.903,"E","",""
"Finland",67,"Industrial water withdrawal",4252,1995,2.124,"E","",""
"Finland",67,"Industrial water withdrawal",4252,2016,1.417,"E","",""
"France",68,"Industrial water withdrawal",4252,1992,28.32,"E","",""
"France",68,"Industrial water withdrawal",4252,1997,21.1,"E","",""
"France",68,"Industrial water withdrawal",4252,2002,22.11,"E","",""
"France",68,"Industrial water withdrawal",4252,2007,21.79,"E","",""
"France",68,"Industrial water withdrawal",4252,2012,19.77,"","",""
"France",68,"Industrial water withdrawal",4252,2016,18.15,"","[96]",""
"Germany",79,"Industrial water withdrawal",4252,1995,37.8,"","",""
"Germany",79,"Industrial water withdrawal",4252,2001,32.6,"E","",""
"Germany",79,"Industrial water withdrawal",4252,2016,19.75,"I","",""
"Greece",84,"Industrial water withdrawal",4252,1997,0.2339,"E","",""
"Greece",84,"Industrial water withdrawal",4252,2007,0.3255,"","",""
"Greece",84,"Industrial water withdrawal",4252,2012,0.126,"E","",""
"Greece",84,"Industrial water withdrawal",4252,2016,0.2083,"E","",""
"Hungary",97,"Industrial water withdrawal",4252,1992,5.204,"E","",""
"Hungary",97,"Industrial water withdrawal",4252,1996,4.726,"E","",""
"Hungary",97,"Industrial water withdrawal",4252,2002,4.209,"","",""
"Hungary",97,"Industrial water withdrawal",4252,2007,4.486,"E","",""
"Hungary",97,"Industrial water withdrawal",4252,2012,4.013,"E","",""
"Hungary",97,"Industrial water withdrawal",4252,2017,3.358,"","",""
"Iceland",99,"Industrial water withdrawal",4252,1992,0.01,"E","",""
"Iceland",99,"Industrial water withdrawal",4252,2002,0.014,"E","",""
"Iceland",99,"Industrial water withdrawal",4252,2004,0.014,"E","",""
"Iceland",99,"Industrial water withdrawal",4252,2012,0.2,"","",""
"Iceland",99,"Industrial water withdrawal",4252,2015,0.198,"","",""
"Ireland",104,"Industrial water withdrawal",4252,1994,0.527,"E","",""
"Ireland",104,"Industrial water withdrawal",4252,2007,0.051,"E","",""
"Italy",106,"Industrial water withdrawal",4252,1990,12.5,"","",""
"Italy",106,"Industrial water withdrawal",4252,2000,16.29,"L","",""
"Italy",106,"Industrial water withdrawal",4252,2013,7.7,"","",""
"Latvia",119,"Industrial water withdrawal",4252,2007,0.0426,"E","",""
"Latvia",119,"Industrial water withdrawal",4252,2012,0.0563,"E","",""
"Latvia",119,"Industrial water withdrawal",4252,2017,0.0252,"I","",""
"Lithuania",126,"Industrial water withdrawal",4252,1995,4.139,"","",""
"Lithuania",126,"Industrial water withdrawal",4252,2001,2.543,"E","",""
"Lithuania",126,"Industrial water withdrawal",4252,2011,,,"[97]",
"Lithuania",126,"Industrial water withdrawal",4252,2017,0.0697,"","",""
"Luxembourg",256,"Industrial water withdrawal",4252,1995,0.0144,"E","",""
"Luxembourg",256,"Industrial water withdrawal",4252,1999,0.0142,"E","",""
"Luxembourg",256,"Industrial water withdrawal",4252,2012,0.0037,"E","",""
"Luxembourg",256,"Industrial water withdrawal",4252,2017,0.0016,"","",""
"Malta",134,"Industrial water withdrawal",4252,1995,0.0,"","",""
"Malta",134,"Industrial water withdrawal",4252,2000,5.0E-4,"L","",""
"Malta",134,"Industrial water withdrawal",4252,2007,0.001,"E","",""
"Malta",134,"Industrial water withdrawal",4252,2012,0.001,"E","",""
"Malta",134,"Industrial water withdrawal",4252,2017,0.001,"","",""
"Monaco",140,"Industrial water withdrawal",4252,1990,0.0,"E","",""
"Monaco",140,"Industrial water withdrawal",4252,1997,0.0,"E","",""
"Monaco",140,"Industrial water withdrawal",4252,2002,0.0,"E","",""
"Monaco",140,"Industrial water withdrawal",4252,2007,0.0,"E","",""
"Monaco",140,"Industrial water withdrawal",4252,2009,0.0,"E","",""
"Montenegro",273,"Industrial water withdrawal",4252,2007,0.0673,"E","",""
"Montenegro",273,"Industrial water withdrawal",4252,2008,0.0628,"E","",""
"Netherlands",150,"Industrial water withdrawal",4252,1991,6.519,"E","",""
"Netherlands",150,"Industrial water withdrawal",4252,1996,5.01,"E","",""
"Netherlands",150,"Industrial water withdrawal",4252,2001,7.558,"E","",""
"Netherlands",150,"Industrial water withdrawal",4252,2007,9.629,"E","",""
"Netherlands",150,"Industrial water withdrawal",4252,2012,9.446,"E","",""
"Netherlands",150,"Industrial water withdrawal",4252,2016,14.74,"","",""
"North Macedonia",154,"Industrial water withdrawal",4252,1996,0.274,"","",""
"North Macedonia",154,"Industrial water withdrawal",4252,2002,0.1397,"E","",""
"North Macedonia",154,"Industrial water withdrawal",4252,2007,0.1993,"E","",""
"North Macedonia",154,"Industrial water withdrawal",4252,2013,0.107,"E","",""
"Norway",162,"Industrial water withdrawal",4252,1996,0.909,"E","",""
"Norway",162,"Industrial water withdrawal",4252,1999,0.783,"E","",""
"Norway",162,"Industrial water withdrawal",4252,2007,1.233,"E","",""
"Norway",162,"Industrial water withdrawal",4252,2009,1.071,"E","",""
"Poland",173,"Industrial water withdrawal",4252,1992,9.18,"E","",""
"Poland",173,"Industrial water withdrawal",4252,1997,9.425,"E","",""
"Poland",173,"Industrial water withdrawal",4252,2010,7.651,"","",""
"Poland",173,"Industrial water withdrawal",4252,2017,7.035,"","",""
"Portugal",174,"Industrial water withdrawal",4252,1991,3.1,"E","",""
"Portugal",174,"Industrial water withdrawal",4252,1998,1.497,"E","",""
"Republic of Moldova",146,"Industrial water withdrawal",4252,1992,0.919,"","[98]",""
"Republic of Moldova",146,"Industrial water withdrawal",4252,2000,0.9912,"L","",""
"Republic of Moldova",146,"Industrial water withdrawal",4252,2005,0.8825,"L","",""
"Republic of Moldova",146,"Industrial water withdrawal",4252,2017,0.65,"","",""
"Romania",183,"Industrial water withdrawal",4252,1990,9.06,"","",""
"Romania",183,"Industrial water withdrawal",4252,1997,7.43,"","",""
"Romania",183,"Industrial water withdrawal",4252,2002,6.17,"","",""
"Romania",183,"Industrial water withdrawal",4252,2006,3.75,"","",""
"Romania",183,"Industrial water withdrawal",4252,2012,4.336,"E","",""
"Romania",183,"Industrial water withdrawal",4252,2017,4.234,"","",""
"Russian Federation",185,"Industrial water withdrawal",4252,1994,47.5,"","",""
"Russian Federation",185,"Industrial water withdrawal",4252,2001,39.6,"","[99]",""
"Russian Federation",185,"Industrial water withdrawal",4252,2017,28.04,"","",""
"Serbia",272,"Industrial water withdrawal",4252,2012,3.097,"I","",""
"Serbia",272,"Industrial water withdrawal",4252,2017,4.057,"I","",""
"Slovakia",199,"Industrial water withdrawal",4252,1997,0.761,"E","",""
"Slovakia",199,"Industrial water withdrawal",4252,2002,0.6225,"E","",""
"Slovakia",199,"Industrial water withdrawal",4252,2007,0.307,"E","",""
"Slovakia",199,"Industrial water withdrawal",4252,2012,0.3288,"E","",""
"Slovakia",199,"Industrial water withdrawal",4252,2017,0.2312,"","",""
"Slovenia",198,"Industrial water withdrawal",4252,2002,0.7055,"E","",""
"Slovenia",198,"Industrial water withdrawal",4252,2007,0.7629,"E","",""
"Slovenia",198,"Industrial water withdrawal",4252,2012,0.7641,"E","",""
"Slovenia",198,"Industrial water withdrawal",4252,2017,0.758,"","",""
"Spain",203,"Industrial water withdrawal",4252,1991,6.4,"E","",""
"Spain",203,"Industrial water withdrawal",4252,1997,6.68,"E","",""
"Spain",203,"Industrial water withdrawal",4252,2002,7.447,"E","",""
"Spain",203,"Industrial water withdrawal",4252,2007,6.495,"E","",""
"Spain",203,"Industrial water withdrawal",4252,2012,6.572,"E","",""
"Spain",203,"Industrial water withdrawal",4252,2016,5.966,"","",""
"Sweden",210,"Industrial water withdrawal",4252,1992,1.783,"E","",""
"Sweden",210,"Industrial water withdrawal",4252,1997,1.509,"E","",""
"Sweden",210,"Industrial water withdrawal",4252,2002,1.503,"E","",""
"Sweden",210,"Industrial water withdrawal",4252,2007,1.523,"E","",""
"Sweden",210,"Industrial water withdrawal",4252,2010,1.572,"E","",""
"Sweden",210,"Industrial water withdrawal",4252,2015,1.345,"","",""
"Switzerland",211,"Industrial water withdrawal",4252,2012,0.6427,"E","",""
"Ukraine",230,"Industrial water withdrawal",4252,1992,13.5,"","",""
"Ukraine",230,"Industrial water withdrawal",4252,2000,9.486,"I","",""
"Ukraine",230,"Industrial water withdrawal",4252,2005,7.24,"I","",""
"Ukraine",230,"Industrial water withdrawal",4252,2010,7.126,"I","",""
"Ukraine",230,"Industrial water withdrawal",4252,2017,3.577,"","",""
"United Kingdom",229,"Industrial water withdrawal",4252,2000,7.19,"L","",""
"United Kingdom",229,"Industrial water withdrawal",4252,2007,1.193,"E","",""
"United Kingdom",229,"Industrial water withdrawal",4252,2012,1.122,"E","",""
"United Kingdom",229,"Industrial water withdrawal",4252,2016,1.01,"","",""
"Albania",3,"Municipal water withdrawal",4251,1990,0.1,"","",""
"Albania",3,"Municipal water withdrawal",4251,2000,0.5504,"L","",""
"Albania",3,"Municipal water withdrawal",4251,2005,0.5613,"L","",""
"Albania",3,"Municipal water withdrawal",4251,2017,0.283,"","",""
"Austria",11,"Municipal water withdrawal",4251,1990,0.6851,"E","",""
"Austria",11,"Municipal water withdrawal",4251,1997,0.6871,"E","",""
"Austria",11,"Municipal water withdrawal",4251,1999,0.6687,"E","",""
"Austria",11,"Municipal water withdrawal",4251,2010,0.72,"E","",""
"Belarus",57,"Municipal water withdrawal",4251,1995,0.752,"I","[100]",""
"Belarus",57,"Municipal water withdrawal",4251,2000,0.8505,"I","[101]",""
"Belarus",57,"Municipal water withdrawal",4251,2005,0.803,"I","[102]",""
"Belarus",57,"Municipal water withdrawal",4251,2010,0.5895,"I","[103]",""
"Belarus",57,"Municipal water withdrawal",4251,2017,0.523,"","",""
